Brand,Model,MY from,MY to,Modell_Ids
Abarth,500/500C,2008,2017,
Abarth,595/595C Pista/Competizione,2012,2018,
Abarth,595/595C/Turismo,2012,2020,
Alfa Romeo,Giulia Quadrifoglio,2016,2020,
Alfa Romeo,Giulia Quadrifoglio,2018,2020,
Alfa Romeo,Stelvio Quadrifoglio,2017,2020,
Audi,R8 5.2 FSI Coupé/Spyder,2009,2015,
Audi,R8 5.2 FSI Coupé/Spyder,2016,2018,
Audi,RS 6 Avant (C7),2014,2018,"117769,59276,"
Audi,RS 6 Avant (C8),2020,2021,138275
Audi,RS 6 Avant (C8) - OPF/GPF,2020,2021,138275
Audi,RS 7 Sportback (C7),2014,2018,
Audi,RS 7 Sportback (C8),2020,2021,
Audi,RS 7 Sportback (C8) - OPF/GPF,2020,2021,
Audi,RS Q8 (4M),2020,2021,138832
Audi,RS Q8 (4M) - OPF/GPF,2020,2021,138832
Audi,S3 Sedan (8Y),2020,2021,
Audi,S3 Sedan (8Y) - OPF/GPF,2020,2021,
Audi,S3 Sportback (8Y),2020,2021,
Audi,S3 Sportback (8Y) - OPF/GPF,2020,2021,
Audi,S5 Coupé (8T),2007,2011,11997.22549
Audi,S6 Avant/Limousine (C7),2013,2017,"11718,108595,"
Audi,S7 Sportback (C7),2013,2017,
BMW,1 Series M Coupé (E82),2011,2012,9877
BMW,"335i (E90, E91)",2007,2012,"19833,121918,"
BMW,"335i (F30, F31)",2012,2015,107875.1079
BMW,"340i (F30, F31)",2016,2019,"113409,117345,117293,113446,"
BMW,"340i (F30, F31) - OPF/GPF",2018,2019,"113409,117345,117293,113446,"
BMW,435i (F32),2013,2015,"59807,107890,"
BMW,"440i (F32, F33, F36)",2016,2020,"118082,119033,118186,119039,"
BMW,"440i (F32, F33, F36) - OPF/GPF",2018,2020,"118082,119033,118186,119039,"
BMW,M135i (F40),2020,2020,136291
BMW,M135i (F40) - OPF/GPF,2020,2020,136291
BMW,"M140i (F20, F21)",2016,2019,"120244,120236,"
BMW,"M140i (F20, F21) - OPF/GPF",2018,2019,"120244,120236,"
BMW,M2 (F87),2016,2017,"117272,138130,130898"
BMW,M2 Competition (F87N),2018,2020,130898
BMW,M2 Competition (F87N) - OPF/GPF,2018,2020,130898
BMW,M2 CS (F87N),2020,2021,138130
BMW,M2 CS (F87N) - OPF/GPF,2020,2021,138130
BMW,"M240i (F22, F23)",2016,2020,"120248,120252,"
BMW,"M240i (F22, F23)  - OPF/GPF",2018,2020,"120248,120252,"
BMW,M3 (E90),2007,2013,26589
BMW,"M3 (E92, E93)",2007,2013,"22939,26590,"
BMW,M3 (F80),2014,2018,100819
BMW,M3 (G80),2021,2021,141793
BMW,M3 (G80) - OPF/GPF,2021,2021,141793
BMW,"M340I  (G20, G21) - OPF/GPF",2020,2021,142485
BMW,"M340I (G20, G21)",2020,2021,142485
BMW,"M4 (F82, F83)",2014,2020,"100821,105899,"
BMW,"M4 (F82, F83) - OPF/GPF",2018,2020,"100821,105899,"
BMW,M4 (G82),2021,2021,141795
BMW,M4 (G82) - OPF/GPF,2021,2021,141795
BMW,"M440I (G22, G23)",2021,2021,144724.1458
BMW,"M440I (G22, G23) - OPF/GPF",2021,2021,144724.1458
BMW,M5 (F10),2011,2017,12689
BMW,M5 / M5 Competition (F90),2018,2020,"131130,128183"
BMW,M5 / M5 Competition (F90) - OPF/GPF,2018,2020,"131130,128183"
BMW,"M6 (F12, F13)",2012,2018,"4767,4481"
BMW,M6 Gran Coupé (F06),2013,2018,59231
BMW,"M8 / M8 Competition (F91, F92)",2020,2021,"136372,136371,136370,136369,"
BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2020,2020,"136372,136371,136370,136369,"
BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2020,2021,"136372,136371,136370,136369,"
BMW,"M8 / M8 Competition (F91, F92) - OPF/GPF",2021,2021,"136372,136371,136370,136369,"
BMW,M8 / M8 Competition Gran Coupé (F93),2020,2021,"137799,137798,"
BMW,M8 / M8 Competition Gran Coupé (F93) - OPF/GPF,2020,2020,"137799,137798,"
BMW,M8 / M8 Competition Gran Coupé (F93) - OPF/GPF,2020,2021,"137799,137798,"
BMW,M8 / M8 Competition Gran Coupé (F93) - OPF/GPF,2021,2021,"137799,137798,"
BMW,X2 M35i (F39),2020,2020,133261
BMW,X2 M35i (F39) - OPF/GPF,2020,2020,133261
BMW,X3 M / X3 M Competition (F97),2020,2020,"135354,135353,"
BMW,X3 M / X3 M Competition (F97) - OPF/GPF,2020,2020,"135354,135353,"
BMW,X4 M / X4 M Competition (F98),2020,2020,"135356,135355,"
BMW,X4 M / X4 M Competition (F98) - OPF/GPF,2020,2020,"135356,135355,"
BMW,X5 M (F85),2015,2018,108622
BMW,X5 M / X5 M Competition (F95),2020,2020,"137786,137787,"
BMW,X5 M / X5 M Competition (F95) - OPF/GPF,2020,2020,"137786,137787,"
BMW,X6 M (F86),2015,2018,108623
BMW,X6 M / X6 M Competition (F96),2020,2020,"137788,137789,"
BMW,X6 M / X6 M Competition (F96) - OPF/GPF,2020,2020,"137788,137789,"
BMW,Z4 M40i (G29),2019,2020,133253
BMW,Z4 M40i (G29),2019,2021,133253
BMW,Z4 M40i (G29) - OPF/GPF,2019,2020,133253
BMW,Z4 M40i (G29) - OPF/GPF,2019,2021,133253
Chevrolet,Corvette Stingray (C8),2020,2021,"146989,146990,"
Chevrolet,Corvette Stingray/Grand Sport (C7),2014,2019,
Chevrolet,Corvette Z06 (C7),2014,2019,"107981,107980,"
Chevrolet,Corvette ZO6/ZR1 (C6),2006,2011,"31407,31405,19491,100274,56759,"
Ferrari,458 Italia/458 Spider,2010,2015,
Ferrari,488 GTB/488 Spider,2016,2019,"113142,131838,133685,117780,"
Lamborghini,Aventador LP 700-4 Coupé/Roadster,2011,2017,27000
Lamborghini,Gallardo LP 550-2 Coupé,2009,2014,107600
Lamborghini,Gallardo LP 560-4 Coupé/Spyder,2008,2014,"53149,29534,"
Lamborghini,Gallardo LP 570-4 Coupé/Spyder,2010,2014,
Lamborghini,Huracán LP 580-2 Coupé/Spyder,2016,2016,"118527,129301,"
Lamborghini,Huracán LP 610-4 Coupé/Spyder,2014,2018,"106463,129302,"
McLaren,12C / 12C SPIDER,2012,2014,
McLaren,540C,2016,2020,112904
McLaren,570S/570S SPIDER / 570GT,2016,2020,"112606,128648,120389,"
McLaren,650S / 650S SPIDER,2014,2019,"101176,101177,"
Mercedes-AMG,A 35 (V177),2019,2020,135945
Mercedes-AMG,A 35 (V177) - OPF/GPF,2019,2020,135945
Mercedes-AMG,A 35 (W177),2019,2020,"132864,136670,136671,"
Mercedes-AMG,A 35 (W177) - OPF/GPF,2019,2020,"132864,136670,136671,"
Mercedes-AMG,A 35 L (Z177),2019,2020,
Mercedes-AMG,A 45 / A 45 S (W177),2020,2021,"136670,136671,"
Mercedes-AMG,A 45 / A 45 S (W177) - OPF/GPF,2020,2020,"136670,136671,"
Mercedes-AMG,A 45 / A 45 S (W177) - OPF/GPF,2020,2021,"136670,136671,"
Mercedes-AMG,A 45 / A 45 S (W177) - OPF/GPF,2021,2021,"136670,136671,"
Mercedes-AMG,C 63 Coupé (C205),2016,2018,"116942,"
Mercedes-AMG,C 63 Estate (S205),2015,2018,108009
Mercedes-AMG,C 63 Sedan (W205),2015,2018,108004
Mercedes-AMG,CLA 35 (C118/X118),2019,2020,"135946,136529,"
Mercedes-AMG,CLA 35 (C118/X118) - OPF/GPF,2019,2020,"135946,136529,"
Mercedes-AMG,CLA 45 / CLA 45 S (C118/X118),2020,2021,"136675,136676,136839,136840"
Mercedes-AMG,CLA 45 / CLA 45 S (C118/X118) - OPF/GPF,2020,2020,"136675,136676,136839,136840"
Mercedes-AMG,CLA 45 / CLA 45 S (C118/X118) - OPF/GPF,2020,2021,"136675,136676,136839,136840"
Mercedes-AMG,CLA 45 / CLA 45 S (C118/X118) - OPF/GPF,2021,2021,"136675,136676,136839,136840"
Mercedes-AMG,Coupé GT / GT S / GT C,2015,2018,
Mercedes-AMG,E 63/E 63 S Sedan/Estate (W213/S213),2017,2020,"125170,125169,127340,127339,"
Mercedes-AMG,G 500 (W463),2012,2017,"129868,12106,59473,114588,10142,10143,33193,"
Mercedes-AMG,G 500 / G 550 (W463A),2019,2021,"129868,12106,59473,114588,10142,10143,33193,"
Mercedes-AMG,G 500 / G 550 (W463A) - OPF/GPF,2019,2020,"129868,12106,59473,114588,10142,10143,33193,"
Mercedes-AMG,G 63 (W463),2015,2018,"130978,55394,109310,59474,55394,109310,"
Mercedes-AMG,G 63 (W463A),2019,2021,"130978,55394,109310,59474,55394,109310,"
Mercedes-AMG,G 63 (W463A) - OPF/GPF,2019,2021,"130978,55394,109310,59474,55394,109310,"
Mercedes-AMG,GLA 45 / GLA 45 S  (H247),2021,2021,"140777,140778"
Mercedes-AMG,GLA 45 / GLA 45 S  (H247) - OPF/GPF,2021,2021,"140777,140778"
Mercedes-AMG,Roadster GT / GT S / GT C,2017,2018,
MINI,Cooper S (R56) / Cooper S Cabrio (R57),2007,2014,"33054,19862,7071,3783,129030,33079,31141,108754,124760,"
MINI,Cooper S Coupé (R58) ,2011,2014,"17420,11698"
MINI,Cooper S Roadster (R59),2012,2014,"3952,15286"
MINI,JCW (R56) / JCW Cabrio (R57),2009,2014,"57564,32009,59416,11881,"
MINI,JCW Clubman ALL4 (F54),2019,2020,"142162,118988,128710,118987,"
MINI,JCW Countryman ALL4 (F60),2019,2020,"140884,125347,140885,125346,123370,123358,140890,123364,123820,123356,"
MINI,JCW Coupé (R58),2011,2014,7450
Nissan,370Z,2009,2020,"31387,31210,106194,58978,34552,5839,"
Nissan,GT-R,2008,2020,"121620,55403,113192,681,27551,133830,107483,"
Porsche,718 Cayman GT4 / Spyder,2020,2020,"137060,145902,"
Porsche,718 Cayman GT4 / Spyder - OPF/GPF,2020,2020,"137060,145902,"
Porsche,718 Cayman GTS 4.0 / Boxster GTS 4.0,2020,2020,"139717,139725,"
Porsche,718 Cayman GTS 4.0 / Boxster GTS 4.0  - OPF/GPF,2020,2020,"139717,139725,"
Porsche,911 Carrera /S/4/4S/Cabriolet (992),2019,2020,"135162,135165,138218,137161,135166,135167,138219,"
Porsche,911 Carrera /S/4/4S/Cabriolet (992) - OPF/GPF,2019,2020,"135162,135165,138218,137161,135166,135167,138219,"
Porsche,911 Carrera /S/4/4S/GTS  (991.2),2016,2019,
Porsche,911 Carrera /S/4/4S/GTS (991),2012,2015,"11570,56771,56770,56764"
Porsche,911 Carrera /S/4/4S/GTS (997 DFI),2008,2012,
Porsche,911 Carrera Cabriolet /S/4/4S/GTS (991),2012,2015,"117752,117757,125932,117754,"
Porsche,911 Carrera Cabriolet /S/4/4S/GTS (991.2),2016,2019,
Porsche,911 Carrera Cabriolet /S/4/4S/GTS (997 DFI),2008,2012,
Porsche,911 GT3 (991),2014,2017,
Porsche,911 GT3 / GT3 Touring (991.2),2018,2019,
Porsche,911 GT3 RS (991),2014,2017,
Porsche,911 GT3 RS (991.2),2018,2020,
Porsche,911 GT3 RS (991.2) - OPF/GPF,2019,2020,
Porsche,911 GT3/RS (997 FL) 3.8,2009,2012,"31365,34987"
Porsche,911 GT3/RS (997 FL) 4.0,2011,2012,11571
Porsche,911 GT3/RS (997) 3.6,2006,2009,19545
Porsche,911 Speedster - OPF/GPF,2019,2020,137146
Porsche,911 Targa 4/4S (997),2008,2012,"30427,28244,30428,139305,28245,139314"
Porsche,911 Turbo (997),2006,2009,
Porsche,911 Turbo / Turbo S (991.2),2016,2019,
Porsche,911 Turbo / Turbo S (992),2020,2021,139813
Porsche,911 Turbo / Turbo S (992)  - OPF/GPF,2020,2021,139813
Porsche,911 Turbo/Turbo S (991),2014,2015,
Porsche,911 Turbo/Turbo S (997 FL),2010,2013,
Porsche,Boxster (981),2012,2015,
Porsche,Boxster GTS (981),2015,2015,101141
Porsche,Boxster S (981),2012,2015,15979
Porsche,Cayenne (958),2010,2014,
Porsche,Cayenne / Coupé (536),2018,2020,
Porsche,Cayenne / Coupé (536) - OPF/GPF,2019,2020,
Porsche,Cayenne Diesel (958),2010,2014,
Porsche,Cayenne E-Hybrid / Coupé (536),2018,2020,
Porsche,Cayenne E-Hybrid / Coupé (536) - OPF/GPF,2019,2020,
Porsche,Cayenne GTS (958 FL),2015,2017,
Porsche,Cayenne S / Coupé (536),2019,2020,
Porsche,Cayenne S / Coupé (536) - OPF/GPF,2019,2020,
Porsche,Cayenne S / GTS (958),2010,2014,
Porsche,Cayenne S Hybrid (958),2010,2013,
Porsche,Cayenne Turbo (958 FL),2015,2017,
Porsche,Cayenne Turbo (958),2010,2014,
Porsche,Cayenne Turbo / Coupé / GTS (536),2018,2020,
Porsche,Cayenne Turbo / Coupé / GTS (536) - OPF/GPF,2019,2020,
Porsche,Cayenne Turbo S (958),2013,2014,
Porsche,Cayenne Turbo S-E-Hybrid / Coupé (536),2019,2020,
Porsche,Cayenne Turbo S-E-Hybrid / Coupé (536) - OPF/GPF,2019,2020,
Porsche,Cayman (981),2013,2015,"133011,57364,"
Porsche,Cayman GTS (981),2015,2015,101142
Porsche,Cayman S (981),2013,2015,57365
Porsche,Macan GTS (95B),2014,2018,139008
Porsche,Macan S (95B),2014,2018,"100638,135274,"
Porsche,Macan Turbo (95B),2014,2018,"137954,100639,122815,"
Porsche,Panamera (970),2009,2013,
Porsche,Panamera / 4 / Sport Turismo (971),2017,2020,
Porsche,Panamera 4 (970),2009,2013,
Porsche,Panamera 4 E-Hybrid / Sport Turismo (971),2017,2020,
Porsche,Panamera 4S (970),2009,2013,"32065,59590,32064,"
Porsche,Panamera 4S / Sport Turismo (971),2017,2020,142262
Porsche,Panamera GTS (970),2011,2013,59594
Porsche,Panamera GTS / Sport Turismo (971),2019,2020,142262
Porsche,Panamera S (970),2009,2013,32064
Porsche,Panamera Turbo (970 FL),2014,2016,"9947,100637,"
Porsche,Panamera Turbo (970),2009,2013,"32066,59593,11703,"
Porsche,Panamera Turbo / Sport Turismo (971),2017,2020,"141730,142262,"
Porsche,Panamera Turbo S (970 FL),2014,2016,"9947,100637,"
Porsche,Panamera Turbo S (970),2010,2013,"9947,100637,"
Porsche,Panamera Turbo S E-Hybrid / Sport Turismo (971),2017,2020,"144318,146731"
Renault,Clio III RS 200,2009,2012,
Renault,Mégane III Coupé RS,2010,2016,
Renault,Mégane IV RS,2017,2020,
Renault,Mégane IV RS - OPF/GPF,2019,2020,
Toyota,GR Yaris,2021,2021,
Toyota,Supra (A90),2019,2020,
Toyota,Supra (A90) - OPF/GPF,2019,2020,
Volkswagen,Golf (VI) GTD,2009,2012,
Volkswagen,Golf (VI) GTI,2009,2012,
Volkswagen,"Golf (VI) TSI 1,4 (118KW)",2008,2012,
Volkswagen,"Golf (VI) TSI 1,4 (90KW)",2008,2012,
Volkswagen,"Golf (VI) TSI 1,8",2009,2009,
Volkswagen,Golf (VII) GTI,2013,2016,
Volkswagen,Golf (VII) GTI FL (169 kW),2017,2019,
Volkswagen,Golf (VII) GTI FL Performance (180 kW),2017,2019,
